PARTY,ELECTORATE,SURNAME,FIRST NAME(S), TOTAL DONATIONS , TOTAL EXPENSES ,2020 Donor Return Part A Name and Steet Address,Date received,Contributions,Amount,Title,Name,Company/Org,Address,Other detail,Money or Goods and Services,Part B Contribution Name and Address,Date received,Donor Part A,Amount,Name,Company/Org,Address,Other detail,Money or Goods and Services,Notes
TEA Party,Te Atatū,AMOAH,Frank,,,FIRST AUCKLAND INTER,10/13/2020,NO," $2,000.00 ",,,FIRST AUCKLAND INTER,,,Money,,,,,,,,,,Missing address; unclear who donor is
New Conservative,West Coast-Tasman,BARKLEY,Karl," $2,000.00 "," $1,843.10 ",,,,,,,,,,,,,,,,,,,,
New Conservative,West Coast-Tasman,BARKLEY,Karl,,,"Sharon Du'Nasemant, 651 Seven Mile Road, Runanga, Greymouth",8/14/2020,NO," $1,000.00 ",,Sharon Du'Nasemant,,"651 Seven Mile Road, Runanga, Greymouth",,Money,,,,,,,,,,Entered as a joint donation of $2000 with Darrin Du'Nasemant
New Conservative,West Coast-Tasman,BARKLEY,Karl,,,"Darrin Du'Nasemant, 651 Seven Mile Road, Runanga, Greymouth",8/14/2020,NO," $1,000.00 ",,Darrin Du'Nasemant,,"651 Seven Mile Road, Runanga, Greymouth",,Money,,,,,,,,,,Entered as a joint donation of $2000 with Sharon Du'Nasemant
ACT New Zealand,Tāmaki,CLARIDGE,Carmel," $2,000.00 "," $3,211.13 ",,,,,,,,,,,,,,,,,,,,
ACT New Zealand,Tāmaki,CLARIDGE,Carmel,,,"Michael Gourley, 47 Fern Glen Rd, St Heliers, AK",6/3/2020,NO," $2,000.00 ",,Michael Gourley,,"47 Fern Glen Rd, St Heliers, AK",,Money,,,,,,,,,,
Labour Party,Dunedin,CLARK,David," $2,000.00 "," $7,634.64 ",,,,,,,,,,,,,,,,,,,,
Labour Party,Dunedin,CLARK,David,,,"New Zealand Meatworkers Union, Otago-Southland branch, PO Box 1364, Dunedin 9054",8/20/2020,NO," $2,000.00 ",,,"New Zealand Meatworkers Union, Otago-Southland branch","PO Box 1364, Dunedin 9054",,Money,,,,,,,,,,
Labour Party,Whangārei,HENDERSON,Emily," $2,000.00 "," $14,737.48 ",,,,,,,,,,,,,,,,,,,,
Labour Party,Whangārei,HENDERSON,Emily,,,"Julian Aaron, 1414 Cove Road, RD 2, Waipu, 0582","22/05/20, 28/09/20",NO," $2,000.00 ",,Julian Aaron,,"1414 Cove Road, RD 2, Waipu, 0582",,Money,,,,,,,,,,
Social Credit,Whangārei,LEITCH,Chris," $2,000.00 "," $1,974.73 ",,,,,,,,,,,,,,,,,,,,
Social Credit,Whangārei,LEITCH,Chris,,,"The New Zealand Democratic Party for Social Credit, 42 Reyburn House Lane, Whangarei ",9/23/2020,NO," $2,000.00 ",,,The New Zealand Democratic Party for Social Credit ,"42 Reyburn House Lane, Whangarei ",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
New Zealand First Party,Wairarapa,MARK,Ron," $2,000.00 "," $26,381.00 ",,,,,,,,,,,,,,,,,,,,
New Zealand First Party,Wairarapa,MARK,Ron,,,"Giang Do. 327 Broadway Ave, Palmerston Nth",10/13/2020,NO," $2,000.00 ",,Giang Do.,,"327 Broadway Ave, Palmerston Nth",,Money,,,,,,,,,,
Labour Party,Southland,MITCHELL,Jon," $2,000.00 "," $4,669.02 ",,,,,,,,,,,,,,,,,,,,
Labour Party,Southland,MITCHELL,Jon,,,"New Zealand Meatworkers Union - Otago Southland Branch, 3 Strafford St, Dunedin 9013",9/16/2020,NO," $2,000.00 ",,,New Zealand Meatworkers Union - Otago Southland Branch,"3 Strafford St, Dunedin 9013",,Money,,,,,,,,,,
Advance NZ,Kelston,KUMEROA,Maureen," $2,058.40 "," $3,078.89 ",,,,,,,,,,,,,,,,,,,,
Advance NZ,Kelston,KUMEROA,Maureen,,,C Millen,8/30/2020,NO, $500.00 ,,C Millen,,,,Money,,,,,,,,,,Missing address
Advance NZ,Kelston,KUMEROA,Maureen,,,H Johnson,9/7/2020,NO, $885.00 ,,H Johnson,,,,Money,,,,,,,,,,Missing address
Advance NZ,Kelston,KUMEROA,Maureen,,,Steve Oliver,9/7/2020,NO, $673.40 ,,Steve Oliver,,,,Money,,,,,,,,,,Missing address
Labour Party,Ilam,PALLETT,Sarah," $2,117.89 "," $5,091.29 ",,,,,,,,,,,,,,,,,,,,
Labour Party,Ilam,PALLETT,Sarah,,,"Ilam Labour Electorate Committee, 100A Brynley Street, Christchurch",,NO," $2,117.89 ",,,Ilam Labour Electorate Committee,"100A Brynley Street, Christchurch",Contribution from funds - c/- John Sullivan,Money,,,,,,,,,,"Date information incomplete (""throughout 2020"")"
Advance NZ,Waimakariri,RICHARDSON,Shelley," $2,290.00 "," $2,290.00 ",,,,,,,,,,,,,,,,,,,,
Advance NZ,Waimakariri,RICHARDSON,Shelley,,,"Peter Gunn - 74 Esplanade, Sumner, Chch 8081 NZ ",8/10/2020,NO," $1,570.00 ",,Peter Gunn,,"74 Esplanade, Sumner, Chch 8081 NZ ",,Money,,,,,,,,,,
Advance NZ,Waimakariri,RICHARDSON,Shelley,,,June Blackman - New Plymouth NZ ,8/17/2020,NO, $300.00 ,,June Blackman,,New Plymouth NZ,,Money,,,,,,,,,,Missing full address
Advance NZ,Waimakariri,RICHARDSON,Shelley,,,Pauline Wayman - Cust Canterbury NZ ,8/20/2020,NO, $400.00 ,,Pauline Wayman ,,Cust Canterbury NZ,,Money,,,,,,,,,,Missing full address
Advance NZ,Waimakariri,RICHARDSON,Shelley,,,Shelley Richardson,8/20/2020,NO, $20.00 ,,Shelley Richardson,,,(cash) ,Money,,,,,,,,,,Missing address
Advance NZ,Nelson,HARRIS,Ben," $2,443.25 "," $2,157.48 ",,,,,,,,,,,,,,,,,,,,
Advance NZ,Nelson,HARRIS,Ben,,,Paul Bryan,8/10/2020,NO, $300.00 ,,Paul Bryan,,,,Money,,,,,,,,,,Missing address
Advance NZ,Nelson,HARRIS,Ben,,,Irene Karmen,8/10/2020,NO, $200.00 ,,Irene Karmen,,,,Money,,,,,,,,,,Missing address
Advance NZ,Nelson,HARRIS,Ben,,,Anni Stuart,8/10/2020,NO, $60.00 ,,Anni Stuart,,,,Money,,,,,,,,,,Missing address
Advance NZ,Nelson,HARRIS,Ben,,,Bran Duffy,8/10/2020,NO, $900.00 ,,Bran Duffy,,,,Money,,,,,,,,,,Missing address
Advance NZ,Nelson,HARRIS,Ben,,,Brigit Kelly,8/10/2020,NO, $100.00 ,,Brigit Kelly,,,,Money,,,,,,,,,,Missing address
Advance NZ,Nelson,HARRIS,Ben,,,Benjamin Harris,12/11/2020,NO, $883.25 ,,Benjamin Harris,,,,Money,,,,,,,,,,Missing address
New Zealand First Party,Christchurch Central,ARNEIL,Mark," $2,500.00 "," $2,428.80 ",,,,,,,,,,,,,,,,,,,,
New Zealand First Party,Christchurch Central,ARNEIL,Mark,,,"Gerard Daldry , 625 Johns Rd, Harewood Christchurch 8051",7/28/2020,NO," $2,500.00 ",,Gerard Daldry,,"625 Johns Rd, Harewood Christchurch 8051"," ""(1/2 share of $5000 donation for Denis O'Rourke, Port Hills and I)""",Money,,,,,,,,,,"Unclear donation:  ""(1/2 share of $5000 donation for Denis O'Rourke, Port Hills and I)"""
ONE Party,Ōhāriu,CAWOOD,Allan," $2,500.00 "," $8,117.68 ",,,,,,,,,,,,,,,,,,,,
ONE Party,Ōhāriu,CAWOOD,Allan,,,"Tom Cawood, Bert Sutcliffe Retirement Village, 2 Rangatira Road Birkenhead 0626, Auckland",9/10/2020,NO," $2,500.00 ",,Tom Cawood,,"Bert Sutcliffe Retirement Village, 2 Rangatira Road Birkenhead 0626, Auckland",,Money,,,,,,,,,,
New Zealand First Party,Bay of Plenty,LAWRENCE,Tricia Jane," $2,500.00 "," $1,498.00 ",,,,,,,,,,,,,,,,,,,,
New Zealand First Party,Bay of Plenty,LAWRENCE,Tricia Jane,,,"Coromandel Electorate of New Zealand First. 703B Sealey Street, Thames 3500",8/3/2020,NO," $2,500.00 ",,,Coromandel Electorate of New Zealand First,"703B Sealey Street, Thames 3500",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
New Zealand First Party,Banks Peninsula,O'ROURKE,Denis," $2,500.00 "," $2,428.80 ",,,,,,,,,,,,,,,,,,,,
New Zealand First Party,Banks Peninsula,O'ROURKE,Denis,,,"Gerard Daldry, 625 Johns Rd, Harewood Christchurch 8051",7/28/2020,NO," $2,500.00 ",,Gerard Daldry,,"625 Johns Rd, Harewood Christchurch 8051"," ""(1/2 share of $5000 donation to Mark Ameil - Cristchurch Central candidate and I)""",Money,,,,,,,,,,"Unclear donation form:  ""(1/2 share of $5000 donation for Denis O'Rourke, Port Hills and I)"""
Advance NZ,Invercargill,ROHLOFF,Kurt," $2,500.00 "," $1,553.13 ",,,,,,,,,,,,,,,,,,,,
Advance NZ,Invercargill,ROHLOFF,Kurt,,,"CHRISTINE A?BEY, ?? 234 CONYERS ST, INVERCARGILL",9/16/2021,NO," $2,500.00 ",,CHRISTINE A?BEY,,"?? 234 CONYERS ST, INVERCARGILL",,Money,,,,,,,,,,"Name and address partially illegible, cannot confirm details"
Labour Party,Taupō,AL-BUSTANJI,Ala'," $2,552.38 "," $1,445.06 ",,,,,,,,,,,,,,,,,,,,
Labour Party,Taupō,AL-BUSTANJI,Ala',,,"Taupo LEC NZLP 74 Rainbow Drive, Taupo",6/11/2020,YES," $2,552.38 ",,,Taupo LEC,"74 Rainbow Drive, Taupo",,Money,,,,,,,,,,Missing Part B entry; Missing name of individual at whose direction the donation was made
Advance NZ,Waiariki,WILLIAMS,Ema," $2,658.70 "," $5,876.65 ",,,,,,,,,,,,,,,,,,,,
Advance NZ,Waiariki,WILLIAMS,Ema,,,"Pauline Delamere, 1 Payne Street, Opotiki 3122",27/8/20-29/9/20,NO," $1,329.35 ",,Pauline Delamere,,"1 Payne Street, Opotiki 3122",Community Fundraising,Money,,,,,,,,,,"Entered as a joint donation of $2,658.70 with Violet Hudson"
,,,,,,"Violet Hudson, 57 Richard Street, Opotiki 3122",27/8/20-29/9/20,NO," $1,329.35 ",,Violet Hudson,,"57 Richard Street, Opotiki 3122",Community Fundraising,Money,,,,,,,,,,"Entered as a joint donation of $2,658.70 with Pauline Delamere"
Māori Party,Te Tai Tonga,FERRIS,Tākuta," $2,700.00 "," $8,681.00 ",,,,,,,,,,,,,,,,,,,,
Māori Party,Te Tai Tonga,FERRIS,Tākuta,,,"NATIONAL URBAN MAORI - NUM, Whānau House, Pioner Street, Henderson, Auckland",9/4/2020,NO," $2,700.00 ",,,NATIONAL URBAN MAORI - NUM,"Whānau House, Pioner Street, Henderson, Auckland",,Money,,,,,,,,,,
Green Party,Whangārei,ARMSTRONG,Moea," $3,000.00 ", NIL ,,,,,,,,,,,,,,,,,,,,
Green Party,Whangārei,ARMSTRONG,Moea,,,"Don Slater, 946 Whangarei Hds Rd R.D.4 Whangarei",4/8/2020,NO," $3,000.00 ",,Don Slater,,946 Whangarei Hds Rd R.D.4 Whangarei,,Money,,,,,,,,,,
New Conservative,North Shore,BREWER,Mike," $3,000.00 ", $489.70 ,,,,,,,,,,,,,,,,,,,,
New Conservative,North Shore,BREWER,Mike,,,"Judith & Graham Porter, 8 Bond Cres, Forrest Hill, 3 X $1000 donations,","7/8, 26/8, 9/9",NO," $3,000.00 ",,Judith & Graham Porter,,"8 Bond Cres, Forrest Hill",3 X $1000,Money,,,,,,,,,,
ONE Party,Mana,HARAWIRA,Stephanie," $3,000.00 "," $3,000.00 ",,,,,,,,,,,,,,,,,,,,
ONE Party,Mana,HARAWIRA,Stephanie,,,"ONE Party, 7 Aitken Rd, RD 2, Tuakau ",8/25/2020,NO," $3,000.00 ",,,ONE Party ,"7 Aitken Rd, RD 2, Tuakau ",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
Labour Party,Remutaka,HIPKINS,Chris," $3,000.00 "," $5,005.91 ",,,,,,,,,,,,,,,,,,,,
Labour Party,Remutaka,HIPKINS,Chris,,,"Rail and Maritime Transport Union (RMTU), Level 1, Tranways Building 1 Thorndon Quay, Pipitea, Wellington 6011",7/20/2020,NO," $3,000.00 ",,,Rail and Maritime Transport Union (RMTU),"Level 1, Tranways Building 1 Thorndon Quay, Pipitea, Wellington 6011",,Money,,,,,,,,,,
Labour Party,Northland,PRIME,Willow-Jean," $3,000.00 "," $3,196.11 ",,,,,,,,,,,,,,,,,,,,
Labour Party,Northland,PRIME,Willow-Jean,,,"Kaye Taylor, He Puna Marama Trust, 185 Lower Dent St, Whangarei ",8/5/2020,NO," $3,000.00 ",,Kaye Taylor,He Puna Marama Trust,"185 Lower Dent St, Whangarei ",,Money,,,,,,,,,,
ONE Party,Wellington Central,SUNDERLAND,Gina," $3,000.00 "," $2,161.95 ",,,,,,,,,,,,,,,,,,,,
ONE Party,Wellington Central,SUNDERLAND,Gina,,,"Janita Stuart, 16 Tremaine PIce Camborne PORIRUA",9/22/2020,," $1,500.00 ",,Janita Stuart,,16 Tremaine PIce Camborne PORIRUA,,Money,,,,,,,,,,Missing indication of whether Part B applies 
ONE Party,Wellington Central,SUNDERLAND,Gina,,,"Janita Stuart, 16 Tremaine PIce Camborne PORIRUA",9/22/2020,," $1,500.00 ",,Janita Stuart,,16 Tremaine PIce Camborne PORIRUA,,Money,,,,,,,,,,
ONE Party,Taupō,COFFIN,Gary Michael," $3,300.00 "," $3,486.12 ",,,,,,,,,,,,,,,,,,,,
ONE Party,Taupō,COFFIN,Gary Michael,,,"Bill Teague, 2 Melrose Pl Tokoroa ",8/10/2020,NO," $3,300.00 ",,Bill Teague,,2 Melrose Pl Tokoroa ,,Money,,,,,,,,,,
Vision New Zealand,Manurewa,WILCOX,Sonny," $3,466.69 "," $4,098.21 ",,,,,,,,,,,,,,,,,,,,
Vision New Zealand,Manurewa,WILCOX,Sonny,,,"Campbell Harvey, 16 Knox Road, Manurewa",6/11/2020,NO, $216.69 ,,Campbell Harvey,,"16 Knox Road, Manurewa",,Money,,,,,,,,,,Incorrectly entered donations in Part B
Vision New Zealand,Manurewa,WILCOX,Sonny,,,"Campbell Harvey, 16 Knox Road, Manurewa",6/18/2020,NO, $650.00 ,,Campbell Harvey,,"16 Knox Road, Manurewa",,Money,,,,,,,,,,Incorrectly entered donations in Part B
Vision New Zealand,Manurewa,WILCOX,Sonny,,,"Campbell Harvey, 16 Knox Road, Manurewa",6/25/2020,NO, $650.00 ,,Campbell Harvey,,"16 Knox Road, Manurewa",,Money,,,,,,,,,,Incorrectly entered donations in Part B
Vision New Zealand,Manurewa,WILCOX,Sonny,,,"Campbell Harvey, 16 Knox Road, Manurewa",7/2/2020,NO, $650.00 ,,Campbell Harvey,,"16 Knox Road, Manurewa",,Money,,,,,,,,,,Incorrectly entered donations in Part B
Vision New Zealand,Manurewa,WILCOX,Sonny,,,"Campbell Harvey, 16 Knox Road, Manurewa",7/2/2020,NO, $650.00 ,,Campbell Harvey,,"16 Knox Road, Manurewa",,Money,,,,,,,,,,Incorrectly entered donations in Part B
Vision New Zealand,Manurewa,WILCOX,Sonny,,,"Campbell Harvey, 16 Knox Road, Manurewa",7/9/2020,NO, $650.00 ,,Campbell Harvey,,"16 Knox Road, Manurewa",,Money,,,,,,,,,,Incorrectly entered donations in Part B
Vision New Zealand,Manurewa,WILCOX,Sonny,,,"Campbell Harvey, 16 Knox Road, Manurewa",7/10/2020,NO, $650.00 ,,Campbell Harvey,,"16 Knox Road, Manurewa",,Money,,,,,,,,,,Incorrectly entered donations in Part B
Progressive Aotearoa New Zealand,Nelson,DYER,Bruce," $3,635.34 "," $5,969.48 ",,,,,,,,,,,,,,,,,,,,
Progressive Aotearoa New Zealand,Nelson,DYER,Bruce,,,"Bruce Dyer, 2035 Motueka Valley Highway, R.D.1 Motueka 7196",10/31/2020,NO," $2,935.34 ",,Bruce Dyer,,"2035 Motueka Valley Highway, R.D.1 Motueka 7196",,Money,,,,,,,,,,
Progressive Aotearoa New Zealand,Nelson,DYER,Bruce,,,"Victor Filbry, 51 Sussex St, Grey Lynn, Auckland",9/25/2020,NO, $700.00 ,,Victor Fillbry,,"51 Sussex St, Grey Lynn, Auckland",,Money,,,,,,,,,,
Social Credit,West Coast-Tasman,COLLIN,Jack," $3,729.77 "," $3,729.77 ",,,,,,,,,,,,,,,,,,,,
Social Credit,West Coast-Tasman,COLLIN,Jack,,,"The New Zealand Democratic Party for Social Credit 42 Reyburn House Lane, Whangarei ",11/5/2020,NO," $3,729.77 ",,,The New Zealand Democratic Party for Social Credit,"42 Reyburn House Lane, Whangarei ",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
New Conservative,Taranaki-King Country,SMITH,Lee Anne," $3,800.00 "," $2,189.79 ",,,,,,,,,,,,,,,,,,,,
New Conservative,Taranaki-King Country,SMITH,Lee Anne,,,"Frans van Schie 138/3 Ranby Rd, Ohaupo","15/6, 21/10",NO," $2,000.00 ",,Frans van Schie,,"138/3 Ranby Rd, Ohaupo",,Money,,,,,,,,,,
New Conservative,Taranaki-King Country,SMITH,Lee Anne,,,"Alan Thompson, 2528 Mokau Rd, RD 47, Urenui","21/5, 5/10",NO," $1,000.00 ",,Alan Thompson,,"2528 Mokau Rd, RD 47, Urenui",,Money,,,,,,,,,,
Advance NZ,Whangaparāoa,FLAY,Kathryn," $4,000.00 "," $4,965.70 ",,,,,,,,,,,,,,,,,,,,
Advance NZ,Whangaparāoa,FLAY,Kathryn,,,"Ian Dodd, 55 Lincoln Street, Managawhai, Northland",9/29/2020,NO," $2,000.00 ",,Ian Dodd,,"55 Lincoln Street, Managawhai, Northland",,Money,,,,,,,,,,
Advance NZ,Whangaparāoa,FLAY,Kathryn,,,"Ian Dodd, 55 Lincoln Street, Managawhai, Northland",9/14/2020,NO," $2,000.00 ",,Ian Dodd,,"55 Lincoln Street, Managawhai, Northland",,Money,,,,,,,,,,
ACT New Zealand,Ōtaki,GRATTAN,Wayne Desmond," $4,000.00 ", NIL ,,,,,,,,,,,,,,,,,,,,
ACT New Zealand,Ōtaki,GRATTAN,Wayne Desmond,,,"Hilltop Contracting Ltd, 43 Houtapu Road Cambridge",7/29/2020,NO," $4,000.00 ",,,Hilltop Contracting Ltd,43 Houtapu Road Cambridge,,Money,,,,,,,,,,
New Conservative,Whangaparāoa,MACKENZIE,Fiona," $4,000.00 "," $1,892.36 ",,,,,,,,,,,,,,,,,,,,
New Conservative,Whangaparāoa,MACKENZIE,Fiona,,,"Ross & Glenda Buddle, 39 Alec Craig Way, Gulf Harbour, Auckland",6/22/2020,NO," $4,000.00 ",,Ross & Glenda Buddle,,"39 Alec Craig Way, Gulf Harbour, Auckland",,Money,,,,,,,,,,
New Conservative,Hamilton East,MANDERS,Julie," $4,000.00 ", $628.57 ,,,,,,,,,,,,,,,,,,,,
New Conservative,Hamilton East,MANDERS,Julie,,,"Pauline Welch, SA224/30 Ruakura Rd, Hamilton East, Hamilton",7/29/2020,NO," $2,000.00 ",,Pauline Welch,,"SA224/30 Ruakura Rd, Hamilton East, Hamilton ",,,,,,,,,,,,
New Conservative,Hamilton East,MANDERS,Julie,,,"Laurence Day, 201 Horsham Downs Rd, RD1, Hamilton",6/23/2020,NO," $2,000.00 ",,Laurence Day,,"201 Horsham Downs Rd, RD1, Hamilton ",,Money,,,,,,,,,,
Green Party,Dunedin,BRAZIL,Jack," $4,068.00 ", $112.89 ,,,,,,,,,,Money,,,,,,,,,,
Green Party,Dunedin,BRAZIL,Jack,,,"Bryan Forde, 15 Pegusus Place, Seaward Bush, Invercargill 9812 ","15/07/20, 18/08/20, 16/09/20 ",NO," $4,068.00 ",,Byran Forde,,"15 Pegusus Place, Seaward Bush, Invercargill 9812 ",,Money,,,,,,,,,,
Labour Party,Invercargill,CRAIG,Liz," $4,422.40 "," $8,737.75 ",,,,,,,,,,,,,,,,,,,,
Labour Party,Invercargill,CRAIG,Liz,,,"*Otago Southland Meatworkers Union, 122 Esk Street, Invercargill - $2,000 Donation + Free Meeting Room Hire ($300) ",7/20/2020,NO," $2,300.00 ",,,Otago Southland Meatworkers Union,"122 Esk Street, Invercargill","$2,000 Donation + Free Meeting Room Hire ($300) ",Money + Goods and Services,,,,,,,,,,
Labour Party,Invercargill,CRAIG,Liz,,,"*NZ Labour Party (NZLP) C/- 160 Willis Street, Wellington: NZLP Southern Regional Council (Hub) $1,000; NZLP Leith Branch $250; Invercargill Labour Electorate Committee $872.40 ","02/07/20, 05/08/20, 23/07/20-16/11/20 ",NO," $2,122.40 ",,,NZ Labour Party: NZLP Southern Regional Council (Hub); NZLP Leith Branch; Invercargill Labour Electorate Committee,"160 Willis Street, Wellington",,Money,,,,,,,,,,Donation made in three parts from three different sources (Should it be Part B entry?)
New Conservative,Hamilton West,DU PLOOY,Rudi," $4,485.00 "," $4,997.77 ",,,,,,,,,,,,,,,,,,,,
New Conservative,Hamilton West,DU PLOOY,Rudi,,,"Globox, Thackeray Street, Hamilton Central, Hamilton 3204 ",10/16/2020,NO," $4,485.00 ",,,Globox,"Thackeray Street, Hamilton Central, Hamilton 3204 ",,Money,,,,,,,,,,
Green Party,Rongotai,CROSSEN,Teall," $4,600.00 ", $57.74 ,,,,,,,,,,,,,,,,,,,,
Green Party,Rongotai,CROSSEN,Teall,,,"John Knight, 9 Claremont Grove, Mount Victoria, Wellington ","21/07/20, 05/10/20 ",NO," $4,600.00 ",,John Knight,," 9 Claremont Grove, Mount Victoria, Wellington ",,Money,,,,,,,,,,
Labour Party,Selwyn,DAVIDSON,Reuben," $5,000.00 "," $9,600.87 ",,,,,,,,,,,,,,,,,,,,
Labour Party,Selwyn,DAVIDSON,Reuben,,,"Paul Taylor, 74 Beaumont Drive, Rolleston ",7/1/2020,NO," $5,000.00 ",,Paul Taylor,,"74 Beaumont Drive, Rolleston ",,Money,,,,,,,,,,
New Conservative,Tauranga,HIGNETT,Paul," $5,000.00 ", $166.80 ,,,,,,,,,,,,,,,,,,,,
New Conservative,Tauranga,HIGNETT,Paul,,,"P Dickson, 263 Matahui Rd, Katikati","7/7, 9/7",," $5,000.00 ",,P Dickson,,"263 Matahui Rd, Katikati ","7/7 $2500, 9/7 $2500",Money,,,,,,,,,,Missing indication of whether Part B applies; missing full date - should be recorded as two separate donations
Labour Party,Port Waikato,KAUR,Baljit," $5,000.00 "," $2,372.39 ",,,,,,,,,,,,,,,,,,,,
